param,metric,corr
idf_acc,overall_acc,0.6554019346244224
idf_acc,overall_precision,0.5309163995241856
idf_acc,loc_median,-0.3761284378234838
loc_mean,overall_acc,-0.9363849564256206
loc_mean,overall_precision,-0.9712905966467608
loc_mean,loc_median,0.8076246375631861
cand_fallback_passes,overall_acc,0.20612387081862332
cand_fallback_passes,overall_precision,-0.20601129810002494
cand_fallback_passes,loc_median,0.30486207640930046
cand_target_raw,overall_acc,-0.22773442469373825
cand_target_raw,overall_precision,-0.05014872915355806
cand_target_raw,loc_median,0.08643221138576983
layout_lambda,overall_acc,0.18089831924274835
layout_lambda,overall_precision,0.28666072390914193
layout_lambda,loc_median,-0.24369011669119145
max_seeds,overall_acc,0.18089831924274816
max_seeds,overall_precision,0.28666072390914193
max_seeds,loc_median,-0.24369011669119123
pivot_P,overall_acc,0.1808983192427483
pivot_P,overall_precision,0.2866607239091422
pivot_P,loc_median,-0.2436901166911914
ratio_tol,overall_acc,0.18089831924274824
ratio_tol,overall_precision,0.2866607239091419
ratio_tol,loc_median,-0.24369011669119137
sla_base_ratio_min,overall_acc,nan
sla_base_ratio_min,overall_precision,nan
sla_base_ratio_min,loc_median,nan
sla_semantic_lambda,overall_acc,0.9474636053121496
sla_semantic_lambda,overall_precision,0.9713669072305404
sla_semantic_lambda,loc_median,-0.7000024145167651
sla_side_margin,overall_acc,nan
sla_side_margin,overall_precision,nan
sla_side_margin,loc_median,nan
sla_top2_margin,overall_acc,nan
sla_top2_margin,overall_precision,nan
sla_top2_margin,loc_median,nan
support_M,overall_acc,-0.01845239861841706
support_M,overall_precision,-0.006246339409265921
support_M,loc_median,-0.006901408283660127
support_tol,overall_acc,-0.012966011601232372
support_tol,overall_precision,-0.0014423307057439489
support_tol,loc_median,-0.011245007093556462
support_w,overall_acc,-0.012966011601232365
support_w,overall_precision,-0.0014423307057439695
support_w,loc_median,-0.011245007093556471
