subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8356164383561644,1.7382759784365216,5.634330900593539,325,134,102,0.31384615384615383,0.7611940298507462,15.947168809682388,1.6439104962741355,325,134,122,0.37538461538461537,5.519158127708295,1.496648891984202
P11,109,9.256880733944953,4.055045871559633,1.936235348197581,5.221131266454607,438,442,363,0.8287671232876712,0.8212669683257918,15.1864538379842,1.5211502462918403,438,442,392,0.8949771689497716,9.49403373738852,1.510332303073513
P12,173,4.369942196531792,2.398843930635838,1.3211285707300446,5.083863969786181,510,415,372,0.7294117647058823,0.8963855421686747,8.307381688597687,1.4142135623730951,510,415,391,0.7666666666666667,3.465185595480691,1.4142135623730951
P13,278,9.550359712230216,4.266187050359712,1.7370833359683895,5.374658635279374,1185,1186,1012,0.8540084388185654,0.8532883642495784,13.79815201210863,1.5811388300841898,1185,1186,1020,0.8607594936708861,10.829152615714227,1.5811388300841898
P14,71,14.23943661971831,3.8732394366197185,1.972745624330015,4.534907948168918,285,275,176,0.6175438596491228,0.64,63.90282777511378,1.4142135623730951,285,275,206,0.7228070175438597,51.16754077311718,1.2532536530139453
P15,266,4.394736842105263,2.601503759398496,1.103781035330878,4.382987967239143,1062,692,539,0.507532956685499,0.7789017341040463,11.71844531777481,1.873353834584318,1062,692,663,0.6242937853107344,2.848799967108143,1.6547752868592158
P1,186,7.387096774193548,4.172043010752688,1.2795215416034147,5.514450527430134,774,776,737,0.9521963824289406,0.9497422680412371,3.374154070311962,1.4142135623730951,774,776,756,0.9767441860465116,1.7557471493475174,1.4076765630700177
P2,161,12.968944099378882,3.62111801242236,1.4135452710887202,4.215043531964468,576,583,256,0.4444444444444444,0.4391080617495712,60.11880234824304,49.35610485548055,576,583,291,0.5052083333333334,52.026169121488,22.73415620221986
P3,218,4.655963302752293,2.853211009174312,1.572072325191819,4.23856756973758,691,622,584,0.8451519536903039,0.9389067524115756,4.878943336621666,1.1009620530086162,691,622,597,0.8639652677279306,4.158284057304664,1.118033988749895
P4,239,4.401673640167364,2.1464435146443517,1.5551796273772354,4.661979776391665,546,513,446,0.8168498168498168,0.8693957115009746,12.330539052951613,1.2283505009457956,546,513,469,0.8589743589743589,9.174724670781575,1.2283505009457956
P5,81,7.864197530864198,4.580246913580247,1.6461374824273043,6.048371197128826,386,371,350,0.9067357512953368,0.9433962264150944,5.577438822650302,1.0521238554581687,386,371,368,0.9533678756476683,2.3235660716179836,1.049122261477322
P6,251,9.167330677290837,3.450199203187251,1.5660595208023735,4.180808295829898,695,866,526,0.7568345323741007,0.6073903002309469,46.18146457016454,1.5004930156254739,695,866,570,0.8201438848920863,44.84012222855683,1.49847743520317
P7,171,6.549707602339181,2.801169590643275,1.8870598329319868,3.8737500513127934,481,479,333,0.6923076923076923,0.6951983298538622,29.644385750104895,1.6436794589643502,481,479,401,0.8336798336798337,12.836128650001097,1.4801281434347742
P8,124,3.7419354838709675,1.8629032258064515,1.446259061697047,5.029378302585823,543,231,222,0.4088397790055249,0.961038961038961,3.618146984023205,1.357339779218551,543,231,229,0.42173112338858193,1.6165396535992969,1.349147092525743
P9,85,5.929411764705883,3.211764705882353,1.9216547819343985,4.83598583019089,266,273,231,0.868421052631579,0.8461538461538461,14.413258227149553,1.5573023743078542,266,273,252,0.9473684210526315,6.141930232008055,1.4962223344781398
