run_id,matcher,matching,max_seeds,pivot_P,ratio_tol,overall_acc,overall_precision,idf_acc,loc_mean,loc_median,images,gt_present,predicted,correct,runtime_s
tierA\run_000,ransac,greedy,100,6,0.1,0.7131119479630263,0.7952405192160855,0.7676594773479402,12.688945827297697,1.4299710879008243,2486,8763,7858,6249,3383.1763944625854
tierA\run_001,ransac,greedy,100,8,0.1,0.7131119479630263,0.7952405192160855,0.7676594773479402,12.688945827297697,1.4299710879008243,2486,8763,7858,6249,2961.9629361629486
tierA\run_002,ransac,greedy,100,6,0.12,0.7131119479630263,0.7952405192160855,0.7676594773479402,12.688945827297697,1.4299710879008243,2486,8763,7858,6249,2977.1305737495422
tierA\run_003,ransac,greedy,100,8,0.12,0.7131119479630263,0.7952405192160855,0.7676594773479402,12.688945827297697,1.4299710879008243,2486,8763,7858,6249,2976.2690501213074
tierA\run_004,ransac,hungarian,100,6,0.1,0.6909734109323291,0.7724199515244291,0.76161132032409,14.425624440874703,1.4523213424532466,2486,8763,7839,6055,2925.3128275871277
tierA\run_005,ransac,hungarian,100,8,0.1,0.6909734109323291,0.7724199515244291,0.76161132032409,14.425624440874703,1.4523213424532466,2486,8763,7839,6055,2929.6533465385437
tierA\run_006,ransac,hungarian,100,6,0.12,0.6909734109323291,0.7724199515244291,0.76161132032409,14.425624440874703,1.4523213424532466,2486,8763,7839,6055,2947.521216392517
tierA\run_007,ransac,hungarian,100,8,0.12,0.6909734109323291,0.7724199515244291,0.76161132032409,14.425624440874703,1.4523213424532466,2486,8763,7839,6055,2947.6506295204163
tierA\run_008,hybrid,greedy,100,6,0.1,0.7288599794590893,0.8081741110970517,0.7787287458632888,11.404287209740394,1.4163943093313527,2486,8763,7903,6387,3214.77214884758
tierA\run_009,hybrid,greedy,100,8,0.1,0.7288599794590893,0.8081741110970517,0.7787287458632888,11.404287209740394,1.4163943093313527,2486,8763,7903,6387,3234.52636885643
tierA\run_010,hybrid,greedy,100,6,0.12,0.7288599794590893,0.8081741110970517,0.7787287458632888,11.404287209740394,1.4163943093313527,2486,8763,7903,6387,3210.185457468033
tierA\run_011,hybrid,greedy,100,8,0.12,0.7288599794590893,0.8081741110970517,0.7787287458632888,11.404287209740394,1.4163943093313527,2486,8763,7903,6387,3211.772050142288
tierA\run_012,hybrid,hungarian,100,6,0.1,0.7246376811594203,0.8045103256049664,0.7769028871391076,11.625449228006675,1.4227513673468062,2486,8763,7893,6350,3185.6664628982544
tierA\run_013,hybrid,hungarian,100,8,0.1,0.7246376811594203,0.8045103256049664,0.7769028871391076,11.625449228006675,1.4227513673468062,2486,8763,7893,6350,3175.1787905693054
tierA\run_014,hybrid,hungarian,100,6,0.12,0.7246376811594203,0.8045103256049664,0.7769028871391076,11.625449228006675,1.4227513673468062,2486,8763,7893,6350,3166.5587787628174
tierA\run_015,hybrid,hungarian,100,8,0.12,0.7246376811594203,0.8045103256049664,0.7769028871391076,11.625449228006675,1.4227513673468062,2486,8763,7893,6350,3166.5433785915375
tierA\run_016,sla,greedy,100,6,0.1,0.7069496747689148,0.775829680651221,0.760241926280954,13.65453208299212,1.4491171490256625,2486,8763,7985,6195,2426.486815929413
tierA\run_017,sla,greedy,100,8,0.1,0.7056943968960402,0.775812319658763,0.7592148807486021,13.688963180936991,1.447176902681341,2486,8763,7971,6184,2894.686624288559
tierA\run_018,sla,greedy,100,6,0.12,0.7055802807257788,0.7753950338600452,0.7595572292593861,13.645846352239234,1.4486340255500685,2486,8763,7974,6183,2685.3447177410126
tierA\run_019,sla,greedy,100,8,0.12,0.7047814675339495,0.7749058971141781,0.7589866484080794,13.676950699433766,1.4493600820190502,2486,8763,7970,6176,3261.5512866973877
tierA\run_020,sla,hungarian,100,6,0.1,0.6781923998630606,0.7496215943491423,0.7414127581878353,15.592314742893135,1.4931542390488775,2486,8763,7928,5943,2411.569845676422
tierA\run_021,sla,hungarian,100,8,0.1,0.676937121990186,0.750126454223571,0.740613944996006,15.486567386555059,1.4857829654455625,2486,8763,7908,5932,2896.7692716121674
tierA\run_022,sla,hungarian,100,6,0.12,0.6763665411388794,0.7489259540055597,0.7416409905283579,15.515475480231963,1.4910969332270556,2486,8763,7914,5927,2680.9146826267242
tierA\run_023,sla,hungarian,100,8,0.12,0.6754536117767888,0.7488613360323887,0.7403857126554833,15.471156762946414,1.4910969332270556,2486,8763,7904,5919,3254.1381707191467
