subject,images,candidates_mean,inliers_mean,ransac_err_mean,app_sum_mean,present_total,predicted_total,correct_total,match_accuracy,precision,loc_err_mean,loc_err_median,idf_present_total,idf_predicted_total,idf_correct_total,idf_match_accuracy,idf_loc_err_mean,idf_loc_err_median
P10,73,4.575342465753424,1.8904109589041096,1.6354736846947515,5.446526834836083,325,138,99,0.3046153846153846,0.717391304347826,17.880560108025623,1.7445351179548674,325,138,110,0.3384615384615385,14.091239391805159,1.5811388300841898
P11,109,9.256880733944953,4.10091743119266,1.5618789234256638,5.192063289556836,438,447,344,0.7853881278538812,0.7695749440715883,21.242892860542867,1.515535689636938,438,447,358,0.817351598173516,18.374720183346597,1.510332303073513
P12,173,4.369942196531792,2.4104046242774566,1.167917504062669,5.097803159173288,510,417,332,0.6509803921568628,0.7961630695443646,12.970943504846312,1.5924710490756713,510,417,351,0.6882352941176471,9.568548036185842,1.4806565054630862
P13,278,9.550359712230216,4.2086330935251794,1.4743085608489483,5.4812217568433965,1185,1170,1023,0.8632911392405064,0.8743589743589744,11.091810821998257,1.5735368953703426,1185,1170,1036,0.8742616033755274,8.819149374397941,1.5678097555072685
P14,71,14.23943661971831,4.309859154929577,1.4840230735724864,4.929745584154825,285,306,214,0.7508771929824561,0.6993464052287581,56.14169539953042,1.2532536530139453,285,306,215,0.7543859649122807,53.09835123349556,1.2532536530139453
P15,266,4.394736842105263,2.6954887218045114,0.9470596779164436,4.42543836005807,1062,717,588,0.5536723163841808,0.8200836820083682,9.015175486609435,1.8027756377319946,1062,717,677,0.6374764595103578,3.362234810522101,1.6547752868592158
P1,186,7.387096774193548,4.166666666666667,1.140443247322924,5.569623228000994,774,775,734,0.9483204134366925,0.9470967741935484,3.503657287755911,1.4142135623730951,774,775,749,0.9677002583979328,3.172658404176034,1.4142135623730951
P2,161,12.968944099378882,3.8385093167701863,1.0908252430748588,4.272699877900517,576,618,304,0.5277777777777778,0.4919093851132686,46.53592464082135,5.560151393093294,576,618,311,0.5399305555555556,41.08740505484272,8.73212459828649
P3,218,4.655963302752293,2.7660550458715596,1.2164922282711716,4.646303055477854,691,603,568,0.8219971056439942,0.9419568822553898,4.01372170484448,1.0817581168988908,691,603,580,0.8393632416787264,4.229367426599619,1.0817581168988908
P4,239,4.401673640167364,2.1464435146443517,1.1811751578687046,4.895654695250609,546,513,464,0.8498168498168498,0.9044834307992202,5.812376195198487,1.125,546,513,473,0.8663003663003663,5.829658160767072,1.1261084844653708
P5,81,7.864197530864198,4.54320987654321,1.45932793182325,6.005940887545565,386,368,345,0.8937823834196891,0.9375,5.7722728239790735,1.0542319283144947,386,368,362,0.9378238341968912,2.0605050948147214,1.0500157826018426
P6,251,9.167330677290837,3.537848605577689,1.2626533694352786,4.446813014017943,695,888,574,0.8258992805755395,0.6463963963963963,30.50440575507744,1.435250053011942,695,888,587,0.8446043165467626,33.627048439965236,1.4257885922520883
P7,171,6.549707602339181,2.7777777777777777,1.7137939253998968,4.394065753603692,481,475,360,0.7484407484407485,0.7578947368421053,16.273490544373328,1.4838342369489261,481,475,391,0.8128898128898129,14.765579405061347,1.4801281434347742
P8,124,3.7419354838709675,2.2903225806451615,1.017925164080789,4.764496221254396,543,284,276,0.5082872928176796,0.971830985915493,2.404795321133407,1.3881259170329001,543,284,281,0.5174953959484346,1.795517569098287,1.3810485003231108
P9,85,5.929411764705883,3.1294117647058823,1.6805431201515768,4.958568790335319,266,266,228,0.8571428571428571,0.8571428571428571,11.187029877604765,1.5345078920558795,266,266,240,0.9022556390977443,9.452657829883533,1.5476956312837324
