run_id,tierb_subtier,tierb_family,ablation_factor,ablation_value,matcher,overall_acc,overall_precision,idf_acc,loc_mean,loc_median,images,gt_present,predicted,correct,runtime_s,cand_fallback_passes,cand_fallback_percentiles,cand_target_raw,layout_lambda,layout_prior,matcher,max_seeds,pivot_P,ratio_tol,sla_base_ratio_min,sla_layout_mode,sla_mirror_reject,sla_semantic_lambda,sla_semantic_prior,sla_side_margin,sla_top2_margin,support_M,support_tol,support_w
tierB\b2_000,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.1
tierB\b2_001,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.1
tierB\b2_002,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.15
tierB\b2_003,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.15
tierB\b2_004,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.1
tierB\b2_005,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.1
tierB\b2_006,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.15
tierB\b2_007,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.15
tierB\b2_008,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.1
tierB\b2_009,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.1
tierB\b2_010,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.15
tierB\b2_011,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.15
tierB\b2_012,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.1
tierB\b2_013,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.1
tierB\b2_014,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.15
tierB\b2_015,,,,,hybrid,0.7295,0.8125,0.777,10.803,1.414,2486,8763,7868,6393,nan,2,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.15
tierB\b2_016,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.1
tierB\b2_017,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.1
tierB\b2_018,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.15
tierB\b2_019,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.15
tierB\b2_020,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.1
tierB\b2_021,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.1
tierB\b2_022,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.15
tierB\b2_023,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.15
tierB\b2_024,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.1
tierB\b2_025,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.1
tierB\b2_026,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.15
tierB\b2_027,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.15
tierB\b2_028,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.1
tierB\b2_029,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.1
tierB\b2_030,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.15
tierB\b2_031,,,,,hybrid,0.7314,0.8102,0.78,10.963,1.414,2486,8763,7910,6409,nan,4,"99,98,97",8,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.15
tierB\b2_032,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.1
tierB\b2_034,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.15
tierB\b2_035,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.15
tierB\b2_036,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.1
tierB\b2_037,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.1
tierB\b2_038,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.15
tierB\b2_039,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.15
tierB\b2_040,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.1
tierB\b2_041,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.1
tierB\b2_042,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.15
tierB\b2_043,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.15
tierB\b2_044,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.1
tierB\b2_045,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.1
tierB\b2_046,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.15
tierB\b2_047,,,,,hybrid,0.7244,0.8128,0.77,11.233,1.414,2486,8763,7810,6348,nan,2,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.15
tierB\b2_048,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.1
tierB\b2_050,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.08,0.15
tierB\b2_051,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.08,0.15
tierB\b2_052,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.1
tierB\b2_053,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.1
tierB\b2_054,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,20,0.1,0.15
tierB\b2_055,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,20,0.1,0.15
tierB\b2_057,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.1
tierB\b2_058,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.08,0.15
tierB\b2_059,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.15
tierB\b2_060,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.1
tierB\b2_061,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.1
tierB\b2_062,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.15
tierB\b2_063,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.15
tierB\b2_064,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.1
tierB\b2_065,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.1
tierB\b2_066,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.15
tierB\b2_067,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.15
tierB\b2_068,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.1
tierB\b2_069,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.1
tierB\b2_070,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.15
tierB\b2_071,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.15
tierB\b2_072,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.1
